id,station_type,station.tele_station_name.th
1203439728,tele_waterlevel,บ้านขนงพระเหนือ
1203467836,tele_waterlevel,ปากรอ
1203467504,tele_waterlevel,สะพานธรรมจักร(วัดธรรมามูล)
1203467319,tele_waterlevel,สะพานแม่น้ำแควใหญ่
1203467477,tele_waterlevel,คลองชะอวด
1203467709,tele_waterlevel,สะพานข้ามคลองอู่ตะเภา
1203467728,tele_waterlevel,เมืองยะลา
1203447220,tele_waterlevel,ประปายโสธร
1203460621,tele_waterlevel,วัดบางไผ่นารถ
1203467823,tele_waterlevel,สะพานต้นน้ำ (เกาะแก้ว-ตลิ่งสูง)
1203460617,tele_waterlevel,ที่ว่าการอ.นครชัยศรี
1203467328,tele_waterlevel,น้ำตกโตนแพรทอง
1203462896,tele_waterlevel,สะพานตาบัว บ้านยาเด๊ะ
1203467424,tele_waterlevel,อโศก
1203467307,tele_waterlevel,สะพานน้ำแม่โถ
1203442973,tele_waterlevel,แม่น้ำตาปี บ้านหาดทรายแก้ว อ.ฉวาง จ.นครศรีธรรมราช
1203432310,tele_waterlevel,บ่อดินขาว
1203467689,tele_waterlevel,สะพานบ้านแก่งโพธิ์
1203442951,tele_waterlevel,บ้านหัวสะพาน
1203467473,tele_waterlevel,บางน้ำเปรี้ยว
1203467766,tele_waterlevel,เมืองแกลง
1203467754,tele_waterlevel,สะพานนางพระยา-บางหลวง ชุมชนปากนคร
1203440339,tele_waterlevel,กรมชลประทานสามเสน
1203467259,tele_waterlevel,สะพานท่าสำเภา
1203460620,tele_waterlevel,ร.ร.บ้านสามพราน
1203467824,tele_waterlevel,สะพานแม่เล่ย์
1203467513,tele_waterlevel,บางไทร
1203467514,tele_waterlevel,สะพานนวลฉวี
1203467493,tele_waterlevel,นายายอาม
1203442904,tele_waterlevel,บ้านนาสีทอง
1203467515,tele_waterlevel,สะพานกรุงเทพ
1203467700,tele_waterlevel,สะพานข้ามคลองบางม่วง
1203467874,tele_waterlevel,บางเลน
1203467832,tele_waterlevel,สะพานกะลูบี บ้านสายปารี
1203467566,tele_waterlevel,สะพานค่ายบางระจัน
1203467875,tele_waterlevel,สะพานนครชัยศรี
1203440363,tele_waterlevel,สะพานหัวเวียง
1203454531,tele_waterlevel,วัดโชติการาม อ.เมืองสุราษฎร์ธานี
1203467759,tele_waterlevel,สะพานบ้านเจดีย์งาม
1203442970,tele_waterlevel,บ้านบองอ 
1203460619,tele_waterlevel,บ้านบางการ้อง
1203467459,tele_waterlevel,คลองเปรมประชากร หลักหก
1203462323,tele_waterlevel,สะพานน้ำแม่สรวย
1203467831,tele_waterlevel,สะพานไอร์ปาโจ
1203467591,tele_waterlevel,พระรามสอง
1203467900,tele_waterlevel,ชุมแสงสงคราม
1203467685,tele_waterlevel,ปตร.ธรณิศนฤมิต-เหนือน้ำ
1203461679,tele_waterlevel,หน้าเขื่อนปากมูล
1203467857,tele_waterlevel,ลำเซบาย
1203467727,tele_waterlevel,บันนังสตา
1203467512,tele_waterlevel,บางปะอิน
1203467866,tele_waterlevel,สถานีสูบน้ำคลองระบายชัยนาท-ป่าสัก 2 (ทุ่งเชียงราก)
1203467461,tele_waterlevel,คลองทวีวัฒนา ท้ายปตร.ทวีวัฒนา
1203460610,tele_waterlevel,บ้านปากแซง
1203459035,tele_waterlevel,สะพานอำเภอเขาสมิง
1203467690,tele_waterlevel,ปตร.บ้านนาคู่-เหนือน้ำ
1203467892,tele_waterlevel,เมืองตราด
1203467864,tele_waterlevel,สถานีสูบน้ำปากคลองสายห้วยแก้ว (ทุ่งซ้ายคลองชัยนาท)
1203467674,tele_waterlevel,เชียรใหญ่
1203467590,tele_waterlevel,บ้านแพ้ว
1203442927,tele_waterlevel,หน้าวัดภูผาพิมุข
1203467822,tele_waterlevel,เมืองอุทัยธานี
1203467556,tele_waterlevel,ฟิวเจอร์ฯรังสิต
1203442948,tele_waterlevel,บ้านบูเก๊ะตา
1203467453,tele_waterlevel,สวนศรีนครเขื่อนขันธ์
